date,time,latitude,longitude
2019-7-11,9:41:0,48.177059,11.73217
2019-7-11,9:41:1,48.177045,11.73218
2019-7-11,9:41:2,48.177013,11.732204
2019-7-11,9:41:3,48.176972,11.732233
2019-7-11,9:41:4,48.176929,11.732264
2019-7-11,9:41:5,48.176888,11.732294
2019-7-11,9:41:6,48.17685,11.732322
2019-7-11,9:41:7,48.176809,11.732352
2019-7-11,9:41:8,48.176766,11.732383
2019-7-11,9:41:9,48.176726,11.732412
2019-7-11,9:41:10,48.176684,11.732442
2019-7-11,9:41:11,48.176637,11.732476
2019-7-11,9:41:12,48.176595,11.732507
2019-7-11,9:41:13,48.176548,11.732541
2019-7-11,9:41:14,48.176501,11.732575
2019-7-11,9:41:15,48.176453,11.732609
2019-7-11,9:41:16,48.176416,11.732636
2019-7-11,9:41:17,48.176373,11.732668
2019-7-11,9:41:18,48.176332,11.732698
2019-7-11,9:41:19,48.176295,11.732725
2019-7-11,9:41:20,48.176249,11.732758
2019-7-11,9:41:21,48.176203,11.732791
2019-7-11,9:41:22,48.176161,11.732822
2019-7-11,9:41:23,48.176115,11.732855
2019-7-11,9:41:24,48.17607,11.732887
2019-7-11,9:41:25,48.176028,11.732918
2019-7-11,9:41:26,48.175994,11.732943
2019-7-11,9:41:27,48.175948,11.732977
2019-7-11,9:41:28,48.175905,11.733008
2019-7-11,9:41:29,48.175865,11.733038
2019-7-11,9:41:30,48.175821,11.73307
2019-7-11,9:41:31,48.175784,11.733098
2019-7-11,9:41:32,48.175741,11.73313
2019-7-11,9:41:33,48.175696,11.733164
2019-7-11,9:41:34,48.175659,11.733191
2019-7-11,9:41:35,48.175612,11.733226
2019-7-11,9:41:36,48.175568,11.733259
2019-7-11,9:41:37,48.175522,11.733293
2019-7-11,9:41:38,48.17548,11.733325
2019-7-11,9:41:39,48.175437,11.733357
2019-7-11,9:41:40,48.175399,11.733385
2019-7-11,9:41:41,48.175352,11.73342
2019-7-11,9:41:42,48.175313,11.73345
2019-7-11,9:41:43,48.175272,11.73348
2019-7-11,9:41:44,48.175229,11.733512
2019-7-11,9:41:45,48.175191,11.73354
2019-7-11,9:41:46,48.175146,11.733574
2019-7-11,9:41:47,48.175103,11.733605
2019-7-11,9:41:48,48.175065,11.733634
2019-7-11,9:41:49,48.175023,11.733665
2019-7-11,9:41:50,48.17498,11.733697
2019-7-11,9:41:51,48.17494,11.733727
2019-7-11,9:41:52,48.174894,11.733762
2019-7-11,9:41:53,48.174852,11.733793
2019-7-11,9:41:54,48.17481,11.733824
2019-7-11,9:41:55,48.174767,11.733856
2019-7-11,9:41:56,48.174722,11.73389
2019-7-11,9:41:57,48.174676,11.733924
2019-7-11,9:41:58,48.17463,11.733958
2019-7-11,9:41:59,48.174589,11.733992
2019-7-11,9:42:0,48.174547,11.734031
2019-7-11,9:42:1,48.174511,11.734066
2019-7-11,9:42:2,48.174467,11.734106
2019-7-11,9:42:3,48.174432,11.734142
2019-7-11,9:42:4,48.174391,11.734185
2019-7-11,9:42:5,48.174347,11.73423
2019-7-11,9:42:6,48.174311,11.734268
2019-7-11,9:42:7,48.174275,11.734308
2019-7-11,9:42:8,48.174233,11.734354
2019-7-11,9:42:9,48.174194,11.734397
2019-7-11,9:42:10,48.174158,11.734436
2019-7-11,9:42:11,48.174119,11.734479
2019-7-11,9:42:12,48.174077,11.734526
2019-7-11,9:42:13,48.17404,11.734566
2019-7-11,9:42:14,48.174001,11.734608
2019-7-11,9:42:15,48.173965,11.734648
2019-7-11,9:42:16,48.173929,11.734688
2019-7-11,9:42:17,48.173891,11.73473
2019-7-11,9:42:18,48.173848,11.734776
2019-7-11,9:42:19,48.173809,11.73482
2019-7-11,9:42:20,48.173771,11.734861
2019-7-11,9:42:21,48.173734,11.734901
2019-7-11,9:42:22,48.173701,11.734938
2019-7-11,9:42:23,48.173659,11.734983
2019-7-11,9:42:24,48.173629,11.735017
2019-7-11,9:42:25,48.173591,11.735051
2019-7-11,9:42:26,48.173554,11.735082
2019-7-11,9:42:27,48.173508,11.73512
2019-7-11,9:42:28,48.173466,11.735155
2019-7-11,9:42:29,48.173424,11.73519
2019-7-11,9:42:30,48.17338,11.735227
2019-7-11,9:42:31,48.173344,11.735257
2019-7-11,9:42:32,48.173312,11.735301
2019-7-11,9:42:33,48.173286,11.735354
2019-7-11,9:42:34,48.173263,11.735408
2019-7-11,9:42:35,48.173257,11.735467
2019-7-11,9:42:36,48.173262,11.73553
2019-7-11,9:42:37,48.173269,11.7356
2019-7-11,9:42:38,48.17328,11.735677
2019-7-11,9:42:39,48.173289,11.735748
2019-7-11,9:42:40,48.173299,11.735822
2019-7-11,9:42:41,48.173309,11.735899
2019-7-11,9:42:42,48.173317,11.735965
2019-7-11,9:42:43,48.173327,11.736039
2019-7-11,9:42:44,48.173335,11.7361
2019-7-11,9:42:45,48.173345,11.73617
2019-7-11,9:42:46,48.173354,11.736244
2019-7-11,9:42:47,48.173363,11.736309
2019-7-11,9:42:48,48.173373,11.736384
2019-7-11,9:42:49,48.173382,11.736454
2019-7-11,9:42:50,48.173391,11.736521
2019-7-11,9:42:51,48.1734,11.736594
2019-7-11,9:42:52,48.173409,11.736661
2019-7-11,9:42:53,48.173419,11.736736
2019-7-11,9:42:54,48.173428,11.736803
2019-7-11,9:42:55,48.173437,11.736873
2019-7-11,9:42:56,48.173447,11.736946
2019-7-11,9:42:57,48.173459,11.737016
2019-7-11,9:42:58,48.173469,11.737079
2019-7-11,9:42:59,48.173481,11.737154
2019-7-11,9:43:0,48.173491,11.737217
2019-7-11,9:43:1,48.173501,11.737284
2019-7-11,9:43:2,48.173511,11.737347
